Ingredient1,Ingredient2,Ingredient3,Ingredient4,Ingredient5,Ingredient6,Food category,Food item
6,3,10,2,10,4,Food category 1,Food item 1
10,3,2,5,3,6,Food category 1,Food item 2
6,4,8,7,10,8,Food category 1,Food item 3
8,4,1,8,1,4,Food category 1,Food item 4
2,3,5,10,5,7,Food category 1,Food item 5
9,1,3,8,10,5,Food category 1,Food item 6
10,6,7,7,5,2,Food category 1,Food item 7
5,4,1,5,4,6,Food category 1,Food item 8
1,7,7,7,3,2,Food category 1,Food item 9
5,9,8,5,6,10,Food category 1,Food item 10
10,1,9,2,4,3,Food category 1,Food item 11
10,1,2,8,1,8,Food category 1,Food item 12
1,4,4,10,10,4,Food category 1,Food item 13
4,1,10,2,1,6,Food category 1,Food item 14
5,5,4,2,5,3,Food category 1,Food item 15
2,3,1,5,9,6,Food category 1,Food item 16
1,9,5,2,8,3,Food category 1,Food item 17
3,8,2,1,2,2,Food category 1,Food item 18
7,7,9,2,10,5,Food category 1,Food item 19
10,2,9,8,4,10,Food category 2,Food item 20
5,5,7,5,7,3,Food category 2,Food item 21
10,1,2,1,1,3,Food category 2,Food item 22
6,6,10,9,6,9,Food category 2,Food item 23
9,4,6,6,5,7,Food category 2,Food item 24
6,4,7,8,6,3,Food category 2,Food item 25
8,4,7,8,4,6,Food category 2,Food item 26
6,4,6,7,5,9,Food category 2,Food item 27
7,8,7,9,7,4,Food category 2,Food item 28
10,1,10,4,8,10,Food category 2,Food item 29
9,5,1,7,2,8,Food category 2,Food item 30
10,7,6,2,5,8,Food category 2,Food item 31
8,7,9,10,7,2,Food category 2,Food item 32
10,5,1,3,6,7,Food category 2,Food item 33
4,8,4,4,7,5,Food category 2,Food item 34
2,5,6,2,4,8,Food category 2,Food item 35
5,10,7,6,3,9,Food category 2,Food item 36
9,2,7,3,5,6,Food category 2,Food item 37
7,4,8,10,1,9,Food category 2,Food item 38
9,3,6,5,7,8,Food category 2,Food item 39
5,5,3,9,9,4,Food category 2,Food item 40
8,4,3,1,4,9,Food category 2,Food item 41
2,7,8,3,9,1,Food category 2,Food item 42
7,9,3,8,6,5,Food category 2,Food item 43
10,2,7,5,10,8,Food category 2,Food item 44
6,4,6,3,5,9,Food category 2,Food item 45
9,3,9,3,1,8,Food category 2,Food item 46
4,9,3,4,7,1,Food category 2,Food item 47
6,10,4,4,5,9,Food category 2,Food item 48
7,8,8,1,9,5,Food category 2,Food item 49
5,4,5,6,2,6,Food category 2,Food item 50
4,6,3,8,9,9,Food category 2,Food item 51
2,5,1,3,6,6,Food category 2,Food item 52
4,6,1,9,8,3,Food category 2,Food item 53
9,7,9,9,9,7,Food category 2,Food item 54
4,3,7,2,2,8,Food category 2,Food item 55
4,6,4,8,2,4,Food category 2,Food item 56
5,4,1,6,3,4,Food category 2,Food item 57
4,9,1,7,5,4,Food category 2,Food item 58
6,5,8,10,5,10,Food category 2,Food item 59
9,3,9,10,3,3,Food category 2,Food item 60
2,5,10,4,6,1,Food category 2,Food item 61
2,1,1,9,1,6,Food category 2,Food item 62
10,6,1,3,1,10,Food category 2,Food item 63
2,2,4,1,2,7,Food category 2,Food item 64
3,6,3,4,3,1,Food category 2,Food item 65
10,2,1,5,3,5,Food category 2,Food item 66
10,4,2,6,1,7,Food category 2,Food item 67
5,10,4,10,10,7,Food category 2,Food item 68
10,10,1,8,2,8,Food category 2,Food item 69
7,7,3,5,1,10,Food category 2,Food item 70
7,2,10,8,7,4,Food category 2,Food item 71
5,1,4,5,2,3,Food category 2,Food item 72
8,4,7,3,1,1,Food category 2,Food item 73
1,8,5,6,7,8,Food category 2,Food item 74
3,1,4,9,10,10,Food category 2,Food item 75
10,2,9,6,2,1,Food category 3,Food item 76
6,8,2,3,4,3,Food category 3,Food item 77
1,10,5,5,8,9,Food category 3,Food item 78
8,2,5,1,2,2,Food category 3,Food item 79
4,8,3,4,1,9,Food category 3,Food item 80
9,2,7,9,7,3,Food category 3,Food item 81
1,7,3,1,10,6,Food category 3,Food item 82
9,1,2,6,6,5,Food category 3,Food item 83
8,10,7,3,6,3,Food category 3,Food item 84
1,6,9,8,8,2,Food category 3,Food item 85
5,7,4,7,3,8,Food category 3,Food item 86
2,5,3,7,5,8,Food category 3,Food item 87
10,8,4,9,4,9,Food category 3,Food item 88
10,1,6,2,7,8,Food category 3,Food item 89
5,9,7,1,6,8,Food category 3,Food item 90
7,3,4,9,10,1,Food category 3,Food item 91
2,7,10,4,6,8,Food category 3,Food item 92
9,2,1,4,6,7,Food category 3,Food item 93
5,1,5,7,5,4,Food category 3,Food item 94
6,3,9,9,9,3,Food category 3,Food item 95
8,3,4,3,5,7,Food category 3,Food item 96
10,8,7,9,2,8,Food category 3,Food item 97
7,2,6,1,4,6,Food category 3,Food item 98
1,6,7,2,8,8,Food category 3,Food item 99
10,8,5,3,4,8,Food category 3,Food item 100
