HouseAge,HouseAgeSquared,LogDistanceMRT,NumberOfConvenienceStores,NumberOfConvenienceStores_squared,latitude,longitude
16.9,285.61,6.87461206,4,16,24.98872,121.53408
16.5,272.25,8.314346018,0,0,24.94155,121.50381
15.6,243.36,5.667549932,5,25,24.98203,121.54348
13,169,6.620167069,2,4,24.97371,121.54951
19.2,368.64,6.133618409,5,25,24.95425,121.5399
14.7,216.09,7.215342179,1,1,24.95204,121.54842
32.8,1075.84,5.318955429,8,64,24.98236,121.53923
20.5,420.25,7.689429687,3,9,24.96322,121.51237
15.7,246.49,6.704330283,4,16,24.97886,121.53464
29.4,864.36,8.41413203,1,1,24.94925,121.49542
12,144,7.215342179,1,1,24.95204,121.54842
37.7,1421.29,6.195108409,0,0,24.97217,121.53471
5.4,29.16,5.967603114,5,25,24.97937,121.54245
11,121,7.445786647,2,4,24.96412,121.5167
27.5,756.25,5.976394817,7,49,24.97305,121.53994
13.3,176.89,6.198948728,5,25,24.96515,121.53737
24,576,8.417966492,0,0,24.94741,121.49628
13.8,190.44,8.314346018,0,0,24.94155,121.50381
33.4,1115.56,5.230940688,6,36,24.96604,121.54211
10.3,106.09,5.353975795,1,1,24.97417,121.52999
12.6,158.76,5.948767097,7,49,24.96735,121.54464
30.8,948.64,5.934353309,6,36,24.96427,121.53964
13.1,171.61,6.331474269,5,25,24.98746,121.54391
19.1,364.81,6.133618409,5,25,24.95425,121.5399
31.3,979.69,7.472162996,1,1,24.95402,121.55282
29.1,846.81,6.226762731,4,16,24.97845,121.53889
30.3,918.09,7.14261394,0,0,24.94883,121.52954
19.8,392.04,6.46241632,5,25,24.97017,121.54647
15.5,240.25,6.704330283,4,16,24.97886,121.53464
25.6,655.36,8.416198686,0,0,24.94826,121.49587
34.7,1204.09,6.1795157,5,25,24.97433,121.53863
31.4,985.96,6.384351886,2,4,24.9726,121.53561
38,1444,6.135098982,0,0,24.97229,121.53445
10.3,106.09,8.032649161,0,0,24.9546,121.56627
34.4,1183.36,4.842047792,8,64,24.96881,121.54089
28,784,5.920570405,6,36,24.97838,121.54119
31.5,992.25,8.614689707,1,1,24.95095,121.48458
8.1,65.61,4.652150141,5,25,24.96674,121.54067
4.1,16.81,7.672001911,3,9,24.96299,121.51284
16.9,285.61,5.90845325,8,64,24.9675,121.54451
21.2,449.44,7.689429687,3,9,24.96322,121.51237
19.2,368.64,6.423896752,3,9,24.97723,121.53767
12.4,153.76,7.445786647,2,4,24.96412,121.5167
7.5,56.25,6.460873937,5,25,24.97258,121.54814
4,16,7.672001911,3,9,24.96299,121.51284
12,144,7.215342179,1,1,24.95204,121.54842
31.7,1004.89,8.614689707,1,1,24.95095,121.48458
18,324,7.254769609,1,1,24.95182,121.54887
16.9,285.61,8.310559352,0,0,24.94297,121.50342
28.4,806.56,6.425585785,3,9,24.97746,121.53299
13.5,182.25,8.342208415,0,0,24.93885,121.50383
36.6,1339.56,6.191992892,8,64,24.97015,121.54494
1,1,5.26571411,6,36,24.96571,121.54089
39.6,1568.16,6.17523859,4,16,24.97353,121.53885
17,289,8.314346018,0,0,24.94155,121.50381
4.5,20.25,7.730120752,3,9,24.96314,121.51151
29.3,858.49,7.305099502,2,4,24.97542,121.51726
13.9,193.21,5.667549932,5,25,24.98203,121.54348
1.1,1.21,5.26571411,6,36,24.96571,121.54089
13,169,6.596944863,0,0,24.97668,121.52518
31.9,1017.61,7.044319942,0,0,24.9492,121.53076
9.7,94.09,6.043769954,5,25,24.98246,121.54477
13.7,187.69,7.120091845,1,1,24.97694,121.55391
28.6,817.96,5.283882686,6,36,24.97631,121.54436
26.8,718.24,6.1795157,5,25,24.97433,121.53863
32.1,1030.41,7.2714111,3,9,24.97419,121.5175
37.9,1436.41,6.191488283,1,1,24.97349,121.53451
19,361,6.916947897,0,0,24.96357,121.54951
19.5,380.25,5.72552668,9,81,24.98034,121.53951
5.1,26.01,7.532212935,2,4,24.98407,121.51748
12.5,156.25,6.331474269,5,25,24.98746,121.54391
34.8,1211.04,5.247230367,8,64,24.97707,121.54312
32,1024,7.053392969,0,0,24.94935,121.53046
8,64,7.703735183,4,16,24.96007,121.51361
13.2,174.24,6.198948728,5,25,24.96515,121.53737
25.9,670.81,8.416198686,0,0,24.94826,121.49587
6.8,46.24,5.939006101,10,100,24.98343,121.53762
29.6,876.16,6.283251309,8,64,24.98092,121.53653
12.8,163.84,6.596944863,0,0,24.97668,121.52518
33.5,1122.25,6.333786427,8,64,24.98223,121.53597
7.8,60.84,4.652150141,5,25,24.96674,121.54067
13.3,176.89,5.817269481,5,25,24.95776,121.53438
18.1,327.61,7.486153566,3,9,24.96731,121.51486
0,0,5.339413723,6,36,24.95618,121.53844
2.1,4.41,6.11200777,5,25,24.97563,121.54694
15.6,243.36,7.471027801,2,4,24.9832,121.51812
26.4,696.96,5.815703324,6,36,24.9796,121.5414
3.7,13.69,6.359507257,6,36,24.97201,121.54722
30.4,924.16,6.14036504,6,36,24.97964,121.53805
5.9,34.81,4.504864208,9,81,24.97433,121.5431
10.4,108.16,5.622026355,5,25,24.95593,121.53913
31.4,985.96,7.277445357,3,9,24.97285,121.5173
21.7,470.89,6.239395731,4,16,24.974,121.53842
4.3,18.49,6.068514705,7,49,24.9805,121.53778
0,0,5.61318066,1,1,24.9748,121.53059
33.2,1102.24,4.80177426,10,100,24.98178,121.54059
13.2,174.24,7.060337301,4,16,24.99156,121.53406
8.5,72.25,4.652150141,5,25,24.96674,121.54067
33.5,1122.25,7.590180686,2,4,24.98674,121.51844
5,25,5.967603114,5,25,24.97937,121.54245
34.6,1197.16,8.03436204,0,0,24.998,121.5155
12.7,161.29,5.136556385,1,1,24.97371,121.52984
3.5,12.25,6.629809257,3,9,24.97538,121.54971
12.5,156.25,7.042667218,4,16,24.99176,121.53456
34.9,1218.01,5.189917793,8,64,24.97349,121.54245
35.3,1246.09,6.420221938,7,49,24.97913,121.53666
17.5,306.25,5.980592409,5,25,24.95674,121.534
6.4,40.96,4.504864208,9,81,24.97433,121.5431
2.7,7.29,6.279414459,4,16,24.97445,121.54765
32.9,1082.41,4.469375892,10,100,24.983,121.54022
13.1,171.61,7.060337301,4,16,24.99156,121.53406
8.5,72.25,4.652150141,5,25,24.96674,121.54067
0,0,5.825905413,9,81,24.96853,121.54413
15.2,231.04,8.235332807,0,0,24.93363,121.51158
