Country name,Population
World,8091734930
India,1438069596
China[a],1422584933
United States,343477335
Indonesia,281190067
Pakistan,247504495
Nigeria,227882945
Brazil,211140729
Bangladesh,171466990
Russia,145440500
Mexico,129739759
Ethiopia,128691692
Japan,124370947
Philippines,114891199
Egypt,114535772
Democratic Republic of the Congo,105789731
Vietnam,100352192
Iran,90608707
Turkey,87270501
Germany,84548231
Thailand,71702435
United Kingdom,68682962
Tanzania[b],66617606
France[c],66438822
South Africa,63212384
Italy,59499453
Kenya,55339003
Myanmar,54133798
Colombia,52321152
South Korea,51748739
Sudan,50042791
Uganda,48656601
Spain[d],47911579
Algeria,46164219
Argentina,45538401
Iraq,45074049
Afghanistan,41454761
Yemen,39390799
Canada,39299105
Poland,38762844
Ukraine[e],37732836
Morocco,37712505
Angola,36749906
Uzbekistan,35652307
Malaysia,35126298
Peru,33845617
Ghana,33787914
Mozambique,33635160
Saudi Arabia,32264292
Madagascar,31195932
Ivory Coast,31165654
Nepal,29964614
Cameroon,28372687
Venezuela,28300854
Australia[f],26451124
North Korea,26418204
Niger,26159867
Mali,23769127
Syria,23594623
Taiwan Province of China,23317145
Burkina Faso,23025776
Sri Lanka,22971617
Malawi,21104482
Zambia,20723965
Kazakhstan,20330104
Chile,19658835
Chad,19319064
Romania,19118479
Somalia[h],18358615
Guatemala,18124838
Senegal,18077573
Netherlands[i],18092524
Ecuador,17980083
Cambodia,17423880
Zimbabwe,16340822
Guinea,14405465
Benin,14111034
Rwanda,13954471
Burundi,13689450
Bolivia,12244159
Tunisia,12200431
Belgium,11712893
Haiti,11637398
South Sudan,11483374
Jordan,11439213
Dominican Republic,11331265
Cuba,11019931
Czechia,10809716
Honduras,10644851
United Arab Emirates,10642081
Sweden,10551494
Portugal[j],10430738
Tajikistan,10389799
Papua New Guinea,10389635
Azerbaijan,10318207
Greece,10242908
Hungary,9686463
Togo,9304337
Israel,9256314
Austria,9130429
Belarus,9115680
Switzerland,8870561
Sierra Leone,8460512
Laos,7664993
Hong Kong S.A.R. of China,7442734
Turkmenistan,7364438
Libya,7305659
Kyrgyzstan,7073516
Paraguay,6844146
Nicaragua,6823613
Bulgaria,6795803
Serbia[l],6773201
El Salvador,6309624
Congo,6182885
Denmark,5948136
Singapore,5789090
Lebanon,5733493
Finland[m],5601185
Norway[n],5519167
Slovakia,5518055
Liberia,5493031
State of Palestine,5409202
Ireland,5196630
New Zealand,5172836
Central African Republic,5152421
Costa Rica,5105525
Oman,5049269
Mauritania,5022441
Kuwait,4838782
Panama,4458759
Croatia,3896023
Georgia[p],3807492
Eritrea,3470390
Mongolia,3431932
Uruguay,3388081
Puerto Rico (United States),3242023
Bosnia and Herzegovina,3185073
Moldova[q],3067070
Qatar,2979082
Namibia,2963095
Armenia,2943393
Lithuania,2854099
Jamaica,2839786
Albania,2811655
Gambia,2697845
Gabon,2484789
Botswana,2480244
Lesotho,2311472
Guinea-Bissau,2153339
Slovenia,2118396
Latvia,1882396
Equatorial Guinea,1847549
North Macedonia,1831802
Kosovo[r],1700031
Bahrain,1569666
Trinidad and Tobago,1502932
East Timor,1384286
Estonia,1367196
Cyprus[s],1344976
Mauritius,1273588
Eswatini,1230506
Djibouti,1152944
Fiji,924145
Réunion (France),874883
Comoros,850387
Guyana,826353
Solomon Islands,800005
Bhutan,786385
Macao (China)[t],713912
Luxembourg,665098
Montenegro,633552
Suriname,628886
Western Sahara (disputed)[u],579729
Malta,532956
Maldives,525994
Cape Verde,522331
Brunei,458949
Belize,411106
Bahamas,399440
Iceland,387558
Guadeloupe (France),376517
Martinique (France),346002
Vanuatu,320409
Mayotte (France),316015
French Guiana (France),303402
New Caledonia (France),289870
Barbados,282336
French Polynesia (France),281118
São Tomé and Príncipe,230871
Samoa,216663
Curaçao (Netherlands),185427
Saint Lucia,179285
Guam (United States),166506
Kiribati,132530
Seychelles,127951
Grenada,117081
Micronesia,112630
Tonga,104597
Aruba (Netherlands),107939
Jersey (United Kingdom),103674
Saint Vincent and the Grenadines,101323
Antigua and Barbuda,93316
U.S. Virgin Islands (United States),85701
Isle of Man (United Kingdom),84165
Andorra,80856
Cayman Islands (United Kingdom),73038
Dominica,66510
Bermuda (United Kingdom),64698
Guernsey (United Kingdom),64017
Greenland (Denmark),55922
Faroe Islands (Denmark),54714
American Samoa (United States),47521
Saint Kitts and Nevis,46758
Turks and Caicos Islands (United Kingdom),46198
Northern Mariana Islands (United States),45143
Sint Maarten (Netherlands),42749
Liechtenstein,39598
British Virgin Islands (United Kingdom),38985
Monaco,38956
Gibraltar (United Kingdom),38471
Marshall Islands,38827
San Marino,33733
Caribbean Netherlands (Netherlands)[v],29898
Saint Martin (France),27515
Palau,17727
Anguilla (United Kingdom),14410
Cook Islands (New Zealand),14222
Nauru,11875
Wallis and Futuna (France),11370
Saint Barthélemy (France),11085
Tuvalu,9816
Saint Pierre and Miquelon (France),5681
Saint Helena (United Kingdom)[w],5289
Montserrat (United Kingdom),4420
Falkland Islands (United Kingdom),3477
Tokelau (New Zealand),2397
Niue (New Zealand),1817
Vatican City[x],496
